agencies,city,total,native,asian,black,pacific,other,white,multi,latino,sub_total,native_arrests,asian_arrests,black_arrests,latino_arrests,pacific_arrests,other_arrests,white_arrests,arrest_total,native_percnt,asian_percnt,black_percnt,latino_percnt,pacific_percnt,other_percnt,white_percnt,native_arrests_percnt,asian_arrests_percnt,black_arrests_percnt,latino_arrests_percnt,pacific_arrests_percnt,other_arrests_percnt,white_arrests_percnt,native_diff,asian_diff,black_diff,latino_diff,pacific_diff,other_diff,white_diff,city_trim
Albany PD,Albany city,56472,396,841,325,129,204,34692,2247,5065,44028,41,111,374,857,8,118,11260,12769,0.008994276369582993,0.019101480875806306,0.007381666212410284,0.1150404288180249,0.002929953665849005,0.0046334150994821474,0.7879531207413464,0.0032109014018325633,0.008692928185449134,0.02928968595817997,0.0671156707651343,6.265173466990367e-4,0.009241130863810792,0.8818231654788942,-0.00578337496775043,-0.010408552690357172,0.021908019745769683,-0.04792475805289059,-0.0023034363191499685,0.004607715764328645,0.09387004473754779,Albany
Ashland PD,Ashland city,21360,110,413,206,54,271,15105,964,1186,18363,5,15,80,37,7,38,1900,2082,0.0059903065947829875,0.022490878396776125,0.011218210532048141,0.06458639655829658,0.0029406959647116484,0.014757937156238087,0.8225780101290638,0.0024015369836695487,0.007204610951008645,0.03842459173871278,0.01777137367915466,0.0033621517771373678,0.01825168107588857,0.9125840537944284,-0.003588769611113439,-0.01528626744576748,0.02720638120666464,-0.046815022879141924,4.214558124257194e-4,0.0034937439196504813,0.09000604366536458,Ashland
Astoria PD,Astoria city,10181,78,135,48,25,64,6958,447,697,8477,3,9,49,107,4,40,1459,1671,0.00920136840863513,0.015925445322637725,0.00566238055916008,0.08222248436947033,0.0029491565412292082,0.007549840745546774,0.8208092485549133,0.0017953321364452424,0.005385996409335727,0.029323758228605626,0.06403351286654697,0.0023937761819269898,0.023937761819269897,0.8731298623578695,-0.007406036272189888,-0.010539448913301998,0.023661377669445545,-0.018188971502923354,-5.553803593022185e-4,0.016387921073723125,0.05232061380295616,Astoria
Beaverton PD MIP,Beaverton city,97494,283,9504,2069,359,380,48816,4228,11972,77970,76,187,1141,1802,67,312,6289,9874,0.00362960112863922,0.12189303578299346,0.026535847120687444,0.15354623573169168,0.004604335000641272,0.00487366936001026,0.6260869565217392,0.007696981972858011,0.018938626696374316,0.1155560056714604,0.18249949361960704,0.006785497265545878,0.03159813652015394,0.6369252582540004,0.004067380844218791,-0.10295440908661914,0.08902015855077296,0.028953257887915362,0.0021811622649046064,0.026724467160143678,0.01083830173226119,Beaverton
Canby PD,Canby city,18171,75,204,53,19,49,10413,621,2461,13914,1,3,47,187,2,39,892,1171,0.005390254420008625,0.014661492022423459,0.0038091131234727614,0.17687221503521633,0.0013655311197355183,0.003521632887738968,0.7483829236739974,8.539709649871904e-4,0.0025619128949615714,0.04013663535439795,0.1596925704526046,0.0017079419299743809,0.033304867634500426,0.7617421007685738,-0.004536283455021434,-0.012099579127461887,0.03632752223092519,-0.01717964458261173,3.4241081023886257e-4,0.029783234746761457,0.013359177094576458,Canby
Central Point PD,Central Point city,18997,103,243,83,54,55,11906,711,1351,14560,4,16,47,50,5,31,1550,1703,0.007074175824175824,0.01668956043956044,0.00570054945054945,0.09278846153846154,0.0037087912087912086,0.0037774725274725275,0.8177197802197802,0.002348796241926013,0.009395184967704051,0.02759835584263065,0.029359953024075163,0.002935995302407516,0.0182031708749266,0.91015854374633,-0.004725379582249811,-0.007294375471856388,0.0218978063920812,-0.06342850851438638,-7.727959063836927e-4,0.014425698347454073,0.09243876352654978,Central Point
Coos Bay PD,Coos Bay city,15985,227,213,62,37,47,10590,768,937,12918,54,5,60,102,8,20,3690,3939,0.017572379625329,0.01648862052949373,0.004799504567270475,0.07253444805697476,0.0028642204675646387,0.003638334107446973,0.8197863446353925,0.013709063214013708,0.0012693577050012694,0.015232292460015232,0.025894897182025894,0.002030972328002031,0.005077430820005078,0.9367859862909368,-0.003863316411315291,-0.01521926282449246,0.010432787892744757,-0.046639550874948865,-8.332481395626075e-4,0.0014390967125581045,0.11699964165554433,Coos Bay
Cornelius PD,Cornelius city,12694,51,184,80,36,26,3841,290,4609,9153,9,6,53,449,5,17,648,1187,0.005571943625040971,0.020102698568775265,0.008740303725554463,0.5035507483885066,0.003933136676499509,0.0028405987108052005,0.41964383262318367,0.007582139848357203,0.005054759898904802,0.04465037910699242,0.37826453243470937,0.004212299915754001,0.014321819713563605,0.5459140690817186,0.0020101962233162324,-0.015047938669870463,0.03591007538143796,-0.1252862159537972,2.7916323925449276e-4,0.011481221002758404,0.1262702364585349,Cornelius
Corvallis PD,Corvallis city,59922,235,5164,623,186,302,37931,2780,4556,51963,81,130,640,790,25,209,9812,11687,0.004522448665396532,0.09937840386428805,0.011989300078902296,0.0876777707214749,0.0035794700075053405,0.005811827646594692,0.7299617035198122,0.0069307777872850175,0.011123470522803115,0.05476170103533841,0.06759647471549585,0.0021391289466929065,0.017883117994352698,0.839565328998032,0.0024083291218884853,-0.08825493334148493,0.04277240095643611,-0.02008129600597905,-0.001440341060812434,0.012071290347758005,0.10960362547821989,Corvallis
Dallas PD,Dallas city,16854,241,152,46,17,61,11249,625,816,13224,8,4,26,55,4,72,803,972,0.01822444041137326,0.011494252873563218,0.0034785238959467633,0.06170598911070781,0.0012855414398064125,0.004612825166364186,0.8506503327283726,0.00823045267489712,0.00411522633744856,0.026748971193415638,0.056584362139917695,0.00411522633744856,0.07407407407407407,0.8261316872427984,-0.00999398773647614,-0.007379026536114658,0.023270447297468876,-0.005121626970790112,0.0028296848976421475,0.06946124890770988,-0.024518645485574253,Dallas
